title,budget,revenue,runtime,vote_average,vote_count,is_franchise,log_popularity,language_category,release_year,release_month,num_genres,genre_action,genre_adventure,genre_animation,genre_comedy,genre_horror,genre_drama,genre_family,genre_fantasy,genre_science_fiction,genre_thriller,has_famous_actor,num_famous_actors,is_usa_production,has_major_studio
The Black Phone,16000000,161441914,103,7.551,5494,1,3.5552080516884987,en,2022,6,2,0,0,0,0,1,0,0,0,0,1,0,0,1,0
The Hunger Games: The Ballad of Songbirds & Snakes,100000000,337371917,157,7.0,3259,1,1.9652644966174366,en,2023,11,3,1,0,0,0,0,1,0,0,1,0,0,0,1,0
Men in Black: International,110000000,253890701,115,5.9,5169,0,1.7931751333692174,en,2019,6,4,1,1,0,1,0,0,0,0,1,0,1,2,1,1
Jujutsu Kaisen 0,0,195870885,105,8.119,1577,1,2.328174863993042,ja,2021,12,3,1,0,1,0,0,0,0,1,0,0,0,0,0,0
Ne Zha 2,80000000,2150000000,144,8.02,452,1,3.5766257907637113,other,2025,1,4,1,1,1,0,0,0,0,1,0,0,0,0,0,0
Inherent Vice,20000000,14710975,149,6.5,2609,0,2.1552213298557614,en,2014,12,3,0,0,0,1,0,1,0,0,0,0,1,1,1,1
Tale of Tales,12000000,5500277,134,6.423,1688,0,2.1665935337826974,it,2015,5,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Sexual Chronicles of a French Family,0,0,85,5.375,391,0,2.139112767982697,fr,2012,5,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0
The Kissing Booth,0,0,105,7.17,7356,1,2.2285078895977297,en,2018,5,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Viking: Bloodlust,0,0,82,6.9,78,0,2.163575867256626,en,2023,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Holy Night: Demon Hunters,0,6500000,92,6.634,67,0,4.00277919517896,ko,2025,4,4,1,0,0,0,1,0,0,1,0,1,0,0,0,0
Diablo,0,0,91,7.231,147,0,2.3016546602757395,en,2025,6,3,1,0,0,0,0,0,0,0,0,1,0,0,1,0
The Promise,90000000,12448676,133,6.877,484,0,1.8858264523410841,en,2016,12,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Rebel Ridge,0,0,132,6.997,1461,0,1.9495463870642578,en,2024,8,3,1,0,0,0,0,0,0,0,0,1,0,0,1,0
The Purge,3000000,91266581,85,6.252,8644,1,2.259917646674643,en,2013,5,3,0,0,0,0,1,0,0,0,1,1,0,0,1,1
The Silencing,0,0,93,6.425,744,0,1.9561150443924538,en,2020,7,3,1,0,0,0,0,0,0,0,0,1,0,0,1,0
Native Son,0,0,104,5.443,87,0,2.540688190246761,en,2019,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Father Stu,4000000,21591034,124,7.155,685,0,2.0399727977694693,en,2022,4,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Bo Burnham: Inside,0,0,88,7.998,561,0,1.8905031417835747,en,2021,7,2,0,0,0,1,0,1,0,0,0,0,0,0,1,0
Hunter Killer,40000000,31672678,121,6.897,2286,0,2.027608628039791,en,2018,10,3,1,1,0,0,0,0,0,0,0,1,0,0,1,0
Werewolves,0,1052998,93,5.928,450,0,2.2506284207252993,en,2024,12,3,1,0,0,0,1,0,0,0,0,1,0,0,1,0
Black Snow,4000000,1440000,90,6.077,201,0,1.8430385968485907,es,2017,1,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Dark Glasses,0,0,86,4.7,198,0,1.9783911684430622,it,2022,2,4,0,0,0,0,1,1,0,0,0,1,0,0,0,0
Zero Fucks Given,0,0,115,6.325,434,0,1.9244967966662492,fr,2022,3,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Despicable Me,69000000,543284256,95,7.254,15677,1,2.6706528912050094,en,2010,7,4,0,0,1,1,0,0,1,0,1,0,0,0,1,1
The Wolfpack,0,1301696,89,6.771,319,0,2.0881906563120842,en,2015,6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
The Order,20000000,1970445,116,6.585,759,0,2.3734535378264865,en,2024,12,3,0,0,0,0,0,1,0,0,0,1,0,0,1,0
Megamind vs. the Doom Syndicate,0,0,83,5.1,312,1,1.9405386052534024,en,2024,3,3,0,0,1,1,0,0,0,0,1,0,0,0,1,0
Killing Salazar,7000000,37766,100,4.893,61,0,2.2831066131564017,en,2017,1,4,1,1,0,0,0,0,0,0,0,1,0,0,1,0
Kleks Academy,0,15348026,130,6.1,174,1,1.7955356637558215,other,2024,1,3,0,1,0,0,0,0,1,1,0,0,0,0,0,0
Gifted,7000000,40300000,101,8.0,5790,0,1.9058021852687153,en,2017,4,2,0,0,0,1,0,1,0,0,0,0,1,1,1,0
Hollow Point,0,1000000,90,6.4,125,0,2.5477562454936096,en,2019,6,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Vice,60000000,76100000,132,7.016,3482,0,1.8042642903665294,en,2018,12,2,0,0,0,1,0,1,0,0,0,0,0,0,1,0
A Silent Voice: The Movie,0,30819442,129,8.386,4268,0,2.1559626712542452,ja,2016,9,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Tarot,8000000,49256239,92,6.412,1294,0,2.0418564901025222,en,2024,5,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Fast & Furious Presents: Hobbs & Shaw,200000000,760098996,137,6.845,7543,0,2.1910723578510214,en,2019,7,3,1,1,0,1,0,0,0,0,0,0,1,2,1,1
Last Christmas,30000000,121600000,102,7.218,2496,0,2.0374730568573343,en,2019,11,2,0,0,0,1,0,0,0,0,0,0,0,0,1,1
Flux Gourmet,0,17816,112,5.5,53,0,1.9377771658251244,en,2022,6,3,0,0,0,1,1,1,0,0,0,0,0,0,1,0
Helldriver,0,0,117,5.741,56,0,1.8073046805635173,ja,2010,9,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0
The House by the Sea,0,0,107,6.5,124,0,2.1914747453556123,fr,2017,11,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Predestination,5500000,4942449,98,7.421,6822,0,1.8657995819365196,en,2014,8,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Dino Time,0,6423279,85,5.7,77,0,1.8571882189945088,en,2012,12,4,0,1,1,1,0,0,1,0,0,0,1,2,1,0
The White Tiger,0,0,125,6.973,948,0,2.0085092908118334,en,2021,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Alarum,20000000,0,95,5.666,367,0,2.4049701864703326,en,2025,1,3,1,0,0,0,0,0,0,0,0,1,0,0,1,0
Kung Fu Panda 2,150000000,665692281,91,7.05,7593,1,2.1911617912902437,en,2011,5,3,0,0,1,1,0,0,1,0,0,0,1,1,1,0
Hotel Transylvania 3: Summer Vacation,80000000,528600000,97,6.853,4604,1,2.1022909932774807,en,2018,6,4,0,0,1,1,0,0,1,1,0,0,1,2,1,1
The Columnist,0,0,83,5.648,54,0,1.8809143805389479,other,2019,12,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0
1917,100000000,446064352,119,7.986,13090,0,2.1334798151627075,en,2019,12,4,1,0,0,0,0,1,0,0,0,0,0,0,1,1
Rampage,120000000,428028233,107,6.456,7311,0,1.8341003097175799,en,2018,4,3,1,1,0,0,0,0,0,0,1,0,1,1,1,1
"Two Days, One Night",7000000,9016922,95,6.899,981,0,1.9450955316303316,fr,2014,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Lucy,40000000,469058574,89,6.47,16671,0,2.200452694687645,en,2014,7,2,1,0,0,0,0,0,0,0,1,0,1,1,0,0
Dogman,0,4082217,115,7.874,1266,0,1.9969834192393139,fr,2023,9,3,1,0,0,0,0,1,0,0,0,0,0,0,1,0
The Legend of Tarzan,180000000,356743061,109,5.914,6368,0,1.803951509993417,en,2016,6,3,1,1,0,0,0,0,0,1,0,0,1,2,1,1
Wild,15000000,52501541,115,7.006,2600,0,2.955743265337628,en,2014,12,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
They/Them,0,0,104,4.743,239,0,2.2263302024748732,en,2022,7,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Self/less,26000000,31807156,117,6.412,3210,0,2.029003144921046,en,2015,7,3,1,0,0,0,0,0,0,0,1,1,1,1,1,0
Batman v Superman: Dawn of Justice,250000000,874362803,152,5.987,18592,1,2.3463722869619885,en,2016,3,3,1,1,0,0,0,0,0,1,0,0,0,0,1,1
Rage,15000000,2424381,98,5.278,776,0,2.498604076911598,en,2014,5,3,1,0,0,0,0,0,0,0,0,1,0,0,1,0
Sweet & Sour,0,0,101,7.723,233,0,1.987422191152253,ko,2021,6,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Re-Elected,0,0,82,6.9,83,0,1.9649982354136242,en,2020,7,2,0,0,0,1,1,0,0,0,0,0,0,0,1,0
The Little Things,30000000,29942746,128,6.331,2671,0,1.9636237611439427,en,2021,1,3,0,0,0,0,0,1,0,0,0,1,0,0,1,1
Vampire Academy,30000000,15391979,104,6.33,1787,0,2.4300367916761227,en,2014,2,3,1,0,0,1,0,0,0,1,0,0,0,0,1,0
Knife+Heart,0,0,102,5.9,219,0,1.9533254448094453,fr,2018,6,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Wonder Woman,149000000,823970682,141,7.214,20527,1,2.5565293934609676,en,2017,5,3,1,1,0,0,0,0,0,1,0,0,0,0,1,0
Mulan,200000000,69965374,115,6.844,6912,0,1.912678323801734,en,2020,9,3,1,1,0,0,0,0,0,1,0,0,0,0,1,1
The Swimmers,0,0,134,7.439,610,0,2.593372339399241,en,2022,11,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Officer Black Belt,0,0,108,7.7,319,0,1.8972749728746225,ko,2024,9,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Misfit,0,354068,90,8.0,212,0,1.786596162271175,es,2021,10,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Bad Hair Day,0,0,90,6.455,291,0,1.8023696483400706,en,2015,2,4,0,1,0,1,0,0,1,0,0,0,0,0,0,0
Star Trek: Section 31,0,0,96,4.833,315,0,2.0613793988614275,en,2025,1,3,1,1,0,0,0,0,0,0,1,0,0,0,1,0
Maneater,0,0,86,4.504,113,0,2.063731279224187,en,2022,8,3,0,0,0,0,1,0,0,0,0,1,0,0,1,0
Pray Away,0,0,101,6.682,99,0,2.7021260210822415,en,2021,6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Dying of the Light,15000000,0,94,4.671,337,0,1.86175184104809,en,2014,12,2,0,0,0,0,0,1,0,0,0,1,0,0,1,0
Total Recall,125000000,198800000,118,6.0,5694,0,1.9212807487527173,en,2012,8,3,1,0,0,0,0,0,0,0,1,1,0,0,1,1
The Brutalist,9600000,50145227,215,6.962,1396,0,2.4683113734383046,en,2024,12,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Baaghi,5103000,17377000,134,6.396,139,1,2.007851550595497,hi,2016,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0
The Predator,88000000,160542134,107,5.629,4939,1,3.2284538091812762,en,2018,9,3,1,0,0,0,0,0,0,0,1,1,1,1,1,1
Rubikon,1200000,0,110,5.298,151,0,1.9687753088984785,de,2022,7,3,0,0,0,0,0,1,0,0,1,1,0,0,0,0
Jiu Jitsu,23000000,99924,102,4.814,642,0,2.3448875910279234,en,2020,11,3,1,0,0,0,0,0,0,1,1,0,0,0,1,0
Boiling Point,0,0,95,7.239,676,0,2.643916931172608,en,2021,7,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Ready Player One,175000000,607274134,140,7.6,16363,0,2.268231715122349,en,2018,3,3,1,1,0,0,0,0,0,0,1,0,0,0,1,1
Joker,55000000,1078958629,122,8.131,26967,1,2.60746345802408,en,2019,10,3,0,0,0,0,0,1,0,0,0,1,0,0,1,1
Rurouni Kenshin: The Beginning,0,0,138,7.668,506,1,2.2689352337790902,ja,2021,6,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0
Hurricane,10000000,2137751,107,5.877,179,0,2.268676644742859,en,2018,9,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Real Steel,110000000,299300000,127,7.063,8814,0,2.493519452886223,en,2011,9,3,1,0,0,0,0,1,0,0,1,0,0,0,1,1
Atomic Blonde,30000000,100014025,115,6.429,6448,0,2.4518840220902796,en,2017,7,3,1,1,0,0,0,0,0,0,0,1,0,0,1,0
Glass Onion: A Knives Out Mystery,40000000,15000000,140,7.037,6177,1,1.9065008466916333,en,2022,11,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Term Life,16500000,21256,93,5.957,317,0,2.1912735718427796,en,2016,4,4,1,0,0,0,0,1,0,0,0,1,0,0,1,0
Megalomaniac,0,0,100,5.509,55,0,1.864374661072795,fr,2023,9,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Through My Window 3: Looking at You,0,0,105,6.9,642,1,1.801544769962852,es,2024,2,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0
TRON: Legacy,170000000,409912892,126,6.525,7599,1,2.3246792104671115,en,2010,12,3,1,1,0,0,0,0,0,0,1,0,0,0,1,1
Boudica,0,0,101,5.868,171,0,1.9703936805563076,en,2023,10,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Cash Out,0,0,90,6.223,215,1,2.1630011347787663,en,2024,4,2,1,0,0,0,0,0,0,0,0,1,0,0,1,0
Kingdom of the Planet of the Apes,160000000,397378150,145,7.057,3959,1,2.555621371373224,en,2024,5,3,1,1,0,0,0,0,0,0,1,0,0,0,1,0
Baghead,0,6691851,95,6.523,452,0,1.825870998856823,en,2023,12,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Dear Santa,0,0,108,6.254,422,0,1.7894401149374781,en,2024,11,2,0,0,0,1,0,0,0,1,0,0,1,1,1,1
The Lucky One,25000000,99400000,101,7.168,3763,0,2.1341072680207414,en,2012,4,2,0,0,0,0,0,1,0,0,0,0,0,0,1,1
Eden,50000000,1907486,129,6.735,393,0,2.6287905201165778,en,2025,4,2,0,0,0,0,0,1,0,0,0,1,0,0,1,0
The Fate of the Furious,250000000,1236000000,136,6.862,10598,1,2.1495737638602135,en,2017,4,3,1,0,0,0,0,0,0,0,0,1,1,1,1,1
Crypto,0,20440,105,5.379,199,0,1.961080213844758,en,2019,4,3,0,0,0,0,0,1,0,0,0,1,0,0,1,0
After We Fell,14000000,21753705,99,7.023,2687,1,1.8411684894855977,en,2021,9,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Pure,0,0,100,6.591,110,0,1.938871147595643,other,2010,10,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
The Running Man,110000000,28200000,133,7.2,70,0,4.281731048356239,en,2025,11,3,1,0,0,0,0,0,0,0,1,1,1,1,1,1
Family Switch,0,0,106,6.396,728,0,2.347768761569366,en,2023,11,3,0,0,0,1,0,0,1,1,0,0,0,0,1,0
Meg 2: The Trench,129000000,384056482,116,6.404,3776,1,2.3336088410957085,en,2023,8,3,1,0,0,0,1,0,0,0,1,0,0,0,1,1
Silent Night,0,0,104,6.167,867,0,2.044008645680919,en,2023,11,3,1,0,0,0,0,0,0,0,0,1,0,0,1,0
Operation Napoleon,0,0,102,6.194,155,1,2.173535072576032,other,2023,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Clown,0,4381603,99,5.8,1425,0,2.0803661141309706,en,2014,11,2,0,0,0,0,1,0,0,0,0,1,0,0,1,0
Legend,25000000,42972994,132,7.055,4110,0,2.0525198841135714,en,2015,9,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Transformers: The Last Knight,217000000,605425157,154,6.056,6520,1,2.0972446221945034,en,2017,6,3,1,1,0,0,0,0,0,0,1,0,0,0,1,1
Detention,0,0,102,6.7,109,0,2.031629024457851,other,2019,9,4,0,0,0,0,1,1,0,0,0,1,0,0,0,0
Allied,106000000,119520023,124,6.8,4664,0,1.831492871446655,en,2016,11,5,1,0,0,0,0,1,0,0,0,1,0,0,1,1
The Robber,3900000,208475,96,6.5,95,0,1.9710625862237463,de,2010,2,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Dumb and Dumber To,40000000,169837010,110,5.568,3308,1,1.8631184282098667,en,2014,11,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1
The Wave,5904067,12975143,104,6.688,1350,1,1.7884205679625405,other,2015,8,3,1,0,0,0,0,1,0,0,0,1,0,0,0,0
Absolution,30000000,3854594,112,5.86,474,0,1.9158337843299817,en,2024,10,4,1,0,0,0,0,0,0,0,0,1,1,1,1,0
Fate/stay night: Heaven's Feel III. Spring Song,0,20150000,120,7.7,191,1,2.310930175729544,ja,2020,8,5,1,0,1,0,0,1,0,1,0,0,0,0,0,0
Last Passenger,0,0,96,5.503,164,0,2.127207371874499,en,2013,10,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Gunpowder Milkshake,30000000,1015760,114,6.276,1089,1,2.0994157228872528,en,2021,7,3,1,0,0,0,0,0,0,0,0,1,0,0,1,0
The 355,75000000,55700000,122,6.043,1076,0,2.003356616641893,en,2022,1,3,1,1,0,0,0,0,0,0,0,1,0,0,1,1
Cars 3,175000000,383925276,102,6.9,6189,1,2.702628865516125,en,2017,6,4,0,1,1,1,0,0,1,0,0,0,0,0,1,0
The Princess Switch,0,0,101,6.996,2249,1,2.3554052211774184,en,2018,10,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0
The Fault in Our Stars,14000000,307166834,126,7.595,11397,0,1.9686356713972042,en,2014,6,2,0,0,0,0,0,1,0,0,0,0,1,1,1,0
Late Shift,4600000,2248056,92,8.0,123,0,1.8113659988669732,de,2025,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Mission: Impossible - Dead Reckoning Part One,291000000,571125435,164,7.519,4716,1,2.59009215013154,en,2023,7,2,1,0,0,0,0,0,0,0,0,1,1,1,1,1
Rape Zombie: Lust of the Dead,0,0,73,6.5,239,1,1.9118509494858755,ja,2012,7,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0
All the Bright Places,0,0,108,7.637,2950,0,1.9569631249543948,en,2020,2,2,0,0,0,0,0,1,0,0,0,0,1,1,1,0
Doctor Strange,180000000,676343174,115,7.418,22912,1,2.100872744088159,en,2016,10,3,1,1,0,0,0,0,0,1,0,0,1,1,1,1
Sanctuary,0,581423,96,6.056,223,0,1.875135078149106,en,2023,3,2,0,0,0,0,0,1,0,0,0,1,0,0,1,0
Brave,185000000,538983207,93,7.0,13836,0,2.277308309809253,en,2012,6,6,1,1,1,1,0,0,1,1,0,0,0,0,1,0
El Infierno,0,6703873,148,7.879,728,0,2.554113942729473,es,2010,9,5,1,0,0,1,0,1,0,0,0,0,0,0,0,0
Brothers,0,0,89,5.952,301,0,1.9807807548558656,en,2024,10,3,1,0,0,1,0,0,0,0,0,0,1,1,1,1
Zack Snyder's Justice League,70000000,0,242,8.103,10477,0,2.2578387415816343,en,2021,3,3,1,1,0,0,0,0,0,1,0,0,1,2,1,1
The Dead,0,0,105,5.511,185,1,2.330851798702355,en,2010,8,4,1,0,0,0,1,0,0,0,1,1,0,0,0,0
The Cutting Edge: Fire & Ice,0,0,90,6.5,151,1,1.8423892101793768,en,2010,3,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Evangelion: 3.0+1.0 Thrice Upon a Time,29700000,93882453,155,8.203,887,1,2.0557506147348454,ja,2021,3,4,1,0,1,0,0,1,0,0,1,0,0,0,0,0
Licorice Pizza,40000000,33276075,133,6.957,2495,0,2.019412836020093,en,2021,11,3,0,0,0,1,0,1,0,0,0,0,0,0,1,0
Mirage,0,17325485,129,7.448,1900,0,1.8280913984754454,es,2018,11,4,0,0,0,0,0,1,0,1,0,1,0,0,0,0
Barbarian,4500000,45400000,102,6.84,2956,0,2.2520494062861514,en,2022,9,2,0,0,0,0,1,0,0,0,0,1,0,0,1,0
Riders of Justice,5300000,679505,116,7.3,974,0,2.0074083387800044,other,2020,11,4,1,0,0,1,0,1,0,0,0,1,0,0,0,0
Triple Frontier,0,0,125,6.323,3401,0,1.7938738989119078,en,2019,3,4,1,1,0,0,0,0,0,0,0,1,0,0,1,0
Lucky,0,0,103,6.4,251,0,2.090059966140444,it,2017,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Dune: Part Two,190000000,714844358,167,8.1,7192,1,2.7585785363164153,en,2024,2,2,0,1,0,0,0,0,0,0,1,0,1,2,1,1
Mickey 17,118000000,131847147,137,6.855,2856,0,2.7987193248170343,en,2025,2,3,0,1,0,1,0,0,0,0,1,0,1,1,1,1
Chronicle,15000000,145000000,84,6.838,5539,0,2.170264395753436,en,2012,2,3,0,0,0,0,0,1,0,0,1,1,0,0,1,1
Romantics Anonymous,0,0,80,6.522,560,0,1.810908288066816,fr,2010,12,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0
When We Leave,0,1338132,119,6.903,72,0,1.808092030515615,de,2010,3,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Priest,60000000,78309131,87,5.84,2413,0,1.8807466707679361,en,2011,5,4,1,0,0,0,1,0,0,1,0,1,0,0,1,0
Azrael,12000000,631272,86,5.955,367,0,2.0895156272513105,en,2024,9,3,1,0,0,0,1,0,0,0,0,1,0,0,1,0
Her,23000000,47351251,126,7.846,14857,0,2.317916956991027,en,2013,12,3,0,0,0,0,0,1,0,0,1,0,1,2,1,0
